Toll Date,Detection Group,Vehicle Class,CRZ Entries
2025-01-05,Brooklyn Bridge,"1 - Cars, Pickups and Vans",16521
2025-01-05,Brooklyn Bridge,2 - Single-Unit Trucks,108
2025-01-05,Brooklyn Bridge,3 - Multi-Unit Trucks,3
2025-01-05,Brooklyn Bridge,4 - Buses,11
2025-01-05,Brooklyn Bridge,5 - Motorcycles,29
2025-01-05,Brooklyn Bridge,TLC Taxi/FHV,9900
2025-01-05,East 60th St,"1 - Cars, Pickups and Vans",28871
2025-01-05,East 60th St,2 - Single-Unit Trucks,834
2025-01-05,East 60th St,3 - Multi-Unit Trucks,154
2025-01-05,East 60th St,4 - Buses,1116
2025-01-05,East 60th St,5 - Motorcycles,642
2025-01-05,East 60th St,TLC Taxi/FHV,34136
2025-01-05,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",31148
2025-01-05,FDR Drive at 60th St,2 - Single-Unit Trucks,270
2025-01-05,FDR Drive at 60th St,3 - Multi-Unit Trucks,3
2025-01-05,FDR Drive at 60th St,4 - Buses,31
2025-01-05,FDR Drive at 60th St,5 - Motorcycles,92
2025-01-05,FDR Drive at 60th St,TLC Taxi/FHV,14236
2025-01-05,Holland Tunnel,"1 - Cars, Pickups and Vans",28391
2025-01-05,Holland Tunnel,2 - Single-Unit Trucks,363
2025-01-05,Holland Tunnel,3 - Multi-Unit Trucks,53
2025-01-05,Holland Tunnel,4 - Buses,55
2025-01-05,Holland Tunnel,5 - Motorcycles,17
2025-01-05,Holland Tunnel,TLC Taxi/FHV,9225
2025-01-05,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",10230
2025-01-05,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,157
2025-01-05,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,4
2025-01-05,Hugh L. Carey Tunnel,4 - Buses,237
2025-01-05,Hugh L. Carey Tunnel,5 - Motorcycles,10
2025-01-05,Hugh L. Carey Tunnel,TLC Taxi/FHV,2838
2025-01-05,Lincoln Tunnel,"1 - Cars, Pickups and Vans",31640
2025-01-05,Lincoln Tunnel,2 - Single-Unit Trucks,784
2025-01-05,Lincoln Tunnel,3 - Multi-Unit Trucks,188
2025-01-05,Lincoln Tunnel,4 - Buses,642
2025-01-05,Lincoln Tunnel,5 - Motorcycles,131
2025-01-05,Lincoln Tunnel,TLC Taxi/FHV,6516
2025-01-05,Manhattan Bridge,"1 - Cars, Pickups and Vans",16798
2025-01-05,Manhattan Bridge,2 - Single-Unit Trucks,421
2025-01-05,Manhattan Bridge,3 - Multi-Unit Trucks,80
2025-01-05,Manhattan Bridge,4 - Buses,138
2025-01-05,Manhattan Bridge,5 - Motorcycles,67
2025-01-05,Manhattan Bridge,TLC Taxi/FHV,8810
