Toll Date,Detection Group,CRZ Entries
2025-01-05,Brooklyn Bridge,26572
2025-01-05,East 60th St,65753
2025-01-05,FDR Drive at 60th St,45780
2025-01-05,Holland Tunnel,38104
2025-01-05,Hugh L. Carey Tunnel,13476
2025-01-05,Lincoln Tunnel,39901
2025-01-05,Manhattan Bridge,26314
2025-01-05,Queens Midtown Tunnel,30461
2025-01-05,Queensboro Bridge,29432
2025-01-05,West 60th St,31946
2025-01-05,West Side Highway at 60th St,32510
2025-01-05,Williamsburg Bridge,37715
2025-01-06,Brooklyn Bridge,25019
2025-01-06,East 60th St,74202
2025-01-06,FDR Drive at 60th St,45765
2025-01-06,Holland Tunnel,33228
2025-01-06,Hugh L. Carey Tunnel,17991
2025-01-06,Lincoln Tunnel,38982
2025-01-06,Manhattan Bridge,24402
2025-01-06,Queens Midtown Tunnel,36509
2025-01-06,Queensboro Bridge,33707
2025-01-06,West 60th St,34612
2025-01-06,West Side Highway at 60th St,37037
2025-01-06,Williamsburg Bridge,36313
2025-01-07,Brooklyn Bridge,28358
2025-01-07,East 60th St,76235
2025-01-07,FDR Drive at 60th St,52304
2025-01-07,Holland Tunnel,34905
2025-01-07,Hugh L. Carey Tunnel,20263
2025-01-07,Lincoln Tunnel,42595
2025-01-07,Manhattan Bridge,25256
2025-01-07,Queens Midtown Tunnel,38977
2025-01-07,Queensboro Bridge,34156
2025-01-07,West 60th St,38726
2025-01-07,West Side Highway at 60th St,41450
2025-01-07,Williamsburg Bridge,36702
2025-01-08,Brooklyn Bridge,27533
2025-01-08,East 60th St,78456
2025-01-08,FDR Drive at 60th St,51495
2025-01-08,Holland Tunnel,35103
2025-01-08,Hugh L. Carey Tunnel,20757
2025-01-08,Lincoln Tunnel,43137
2025-01-08,Manhattan Bridge,26547
2025-01-08,Queens Midtown Tunnel,39465
2025-01-08,Queensboro Bridge,36963
2025-01-08,West 60th St,39538
2025-01-08,West Side Highway at 60th St,42665
2025-01-08,Williamsburg Bridge,37727
2025-01-09,Brooklyn Bridge,28298
2025-01-09,East 60th St,80902
2025-01-09,FDR Drive at 60th St,50823
2025-01-09,Holland Tunnel,36281
2025-01-09,Hugh L. Carey Tunnel,21543
2025-01-09,Lincoln Tunnel,43656
2025-01-09,Manhattan Bridge,26947
2025-01-09,Queens Midtown Tunnel,40116
2025-01-09,Queensboro Bridge,37415
2025-01-09,West 60th St,40921
2025-01-09,West Side Highway at 60th St,43748
2025-01-09,Williamsburg Bridge,38595
2025-01-10,Brooklyn Bridge,28308
2025-01-10,East 60th St,78256
2025-01-10,FDR Drive at 60th St,54554
2025-01-10,Holland Tunnel,36737
2025-01-10,Hugh L. Carey Tunnel,20939
2025-01-10,Lincoln Tunnel,43004
2025-01-10,Manhattan Bridge,27901
2025-01-10,Queens Midtown Tunnel,43244
2025-01-10,Queensboro Bridge,37502
2025-01-10,West 60th St,39616
2025-01-10,West Side Highway at 60th St,42528
2025-01-10,Williamsburg Bridge,40110
2025-01-11,Brooklyn Bridge,27396
2025-01-11,East 60th St,72652
2025-01-11,FDR Drive at 60th St,53035
2025-01-11,Holland Tunnel,36767
2025-01-11,Hugh L. Carey Tunnel,15965
2025-01-11,Lincoln Tunnel,40361
2025-01-11,Manhattan Bridge,28203
2025-01-11,Queens Midtown Tunnel,36052
2025-01-11,Queensboro Bridge,32959
2025-01-11,West 60th St,38353
2025-01-11,West Side Highway at 60th St,38994
2025-01-11,Williamsburg Bridge,39721
2025-01-12,Brooklyn Bridge,26545
2025-01-12,East 60th St,65792
2025-01-12,FDR Drive at 60th St,47159
2025-01-12,Holland Tunnel,36057
2025-01-12,Hugh L. Carey Tunnel,13757
2025-01-12,Lincoln Tunnel,37987
2025-01-12,Manhattan Bridge,26156
2025-01-12,Queens Midtown Tunnel,32961
2025-01-12,Queensboro Bridge,30576
2025-01-12,West 60th St,33177
2025-01-12,West Side Highway at 60th St,32575
2025-01-12,Williamsburg Bridge,37397
2025-01-13,Brooklyn Bridge,26957
2025-01-13,East 60th St,74300
2025-01-13,FDR Drive at 60th St,46305
2025-01-13,Holland Tunnel,34865
2025-01-13,Hugh L. Carey Tunnel,19656
2025-01-13,Lincoln Tunnel,43433
2025-01-13,Manhattan Bridge,26186
2025-01-13,Queens Midtown Tunnel,40505
2025-01-13,Queensboro Bridge,36096
2025-01-13,West 60th St,36095
2025-01-13,West Side Highway at 60th St,39972
2025-01-13,Williamsburg Bridge,36349
2025-01-14,Brooklyn Bridge,27254
2025-01-14,East 60th St,79237
2025-01-14,FDR Drive at 60th St,49298
2025-01-14,Holland Tunnel,35821
2025-01-14,Hugh L. Carey Tunnel,20609
2025-01-14,Lincoln Tunnel,44809
2025-01-14,Manhattan Bridge,27654
2025-01-14,Queens Midtown Tunnel,41107
2025-01-14,Queensboro Bridge,37221
2025-01-14,West 60th St,39155
